Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
162;огороде;огород;inan;masc;д;3;на;Вот так , у нас вон у Настёнки валяются на огороде
163;магазине;магазин;inan;masc;н;3;в;А у нас в магазине я с цветами покупала корчажку
164;вышнике;вышник;inan;masc;к;2;в;И у Настёнки в вышнике < вишневый сад > валяются
165;бревне;бревно;inan;neut;н;1;на;На бревне
166;бревне;бревно;inan;neut;н;1;на;На , вот сидят на бревне
167;чёлноке;чёлнок;inan;masc;к;2;в;В чёлноке , на чёлнок наматывали эти нитки , и вот его протыкали , этой бёрдой прижмут , потом опять
168;потолке;потолок;inan;masc;к;3;на;Половики . И посейчас у меня новые висят , не стелили ни разу . Вот на потолке
169;отпуске;отпуск;inan;masc;к;2;в;Вот и обои привезет и , Катя в отпуске будет , и сама же
170;доме;дом;inan;masc;м;1;в;А что - то , Шурк , в Надёнкином доме окна - то не . . . не . . . не . . . Александра Ивановича
171;Коне;конь;inan;masc;н';1;в;Ну , как вот , Даша - то училась , в этом , в Коне
172;огороде;огород;inan;masc;д;3;на;пошла капусту полила - всё там сохнет на огороде . Ничего не р . .
173;доме;дом;inan;masc;м;1;в;Не я - она сама . Она , вода - в доме у нас . Вон , на кухне . Угу
174;клубе;клуб;inan;masc;б;1;в;Не мы - а вот в клубе тогда собирались
175;огороде;огород;inan;masc;д;3;на;Да директриса ездила , какие - то там , я не знаю эти , чего - то , говорит , на огороде работают
176;августе;август;inan;masc;т;2;в;Живы , пчёлы вот чего им . Может , может в августе натаскают
177;доме;дом;inan;masc;м;1;в;Люб , вода у меня в доме давно
